Country;City;Date;SI_index
Армения;Гюмри;13.03.2020;2.40
Армения;Гюмри;13.04.2020;3.40
Армения;Гюмри;14.03.2020;2.80
Армения;Гюмри;14.04.2020;3.40
Армения;Гюмри;15.03.2020;3.00
Армения;Гюмри;15.04.2020;3.40
Армения;Гюмри;16.03.2020;2.70
Армения;Гюмри;16.04.2020;3.50
Армения;Гюмри;17.03.2020;3.00
Армения;Гюмри;17.04.2020;3.40
Армения;Гюмри;18.03.2020;3.30
Армения;Гюмри;18.04.2020;3.50
Армения;Гюмри;19.03.2020;3.10
Армения;Гюмри;19.04.2020;3.60
Армения;Гюмри;20.03.2020;2.90
Армения;Гюмри;20.04.2020;3.30
Армения;Гюмри;21.03.2020;3.20
Армения;Гюмри;21.04.2020;3.40
Армения;Гюмри;22.03.2020;3.40
Армения;Гюмри;22.04.2020;3.40
Армения;Гюмри;23.02.2020;2.80
Армения;Гюмри;23.03.2020;2.90
Армения;Гюмри;23.04.2020;3.50
Армения;Гюмри;24.02.2020;2.10
Армения;Гюмри;24.03.2020;3.00
Армения;Гюмри;24.04.2020;3.80
Армения;Гюмри;25.02.2020;2.10
Армения;Гюмри;25.03.2020;3.60
Армения;Гюмри;25.04.2020;3.70
Армения;Гюмри;26.02.2020;2.00
Армения;Гюмри;26.03.2020;3.80
Армения;Гюмри;26.04.2020;3.80
Армения;Гюмри;27.02.2020;2.10
Армения;Гюмри;27.03.2020;3.90
Армения;Гюмри;27.04.2020;3.10
Армения;Гюмри;28.02.2020;2.10
Армения;Гюмри;28.03.2020;4.00
Армения;Гюмри;29.02.2020;2.60
Армения;Гюмри;29.03.2020;4.10
Армения;Гюмри;30.03.2020;3.90
Армения;Гюмри;31.03.2020;3.90
Армения;Ереван;01.03.2020;2.90
Армения;Ереван;01.04.2020;3.70
Армения;Ереван;02.03.2020;1.80
Армения;Ереван;02.04.2020;3.80
Армения;Ереван;03.03.2020;1.70
Армения;Ереван;03.04.2020;3.80
Армения;Ереван;04.03.2020;1.60
Армения;Ереван;04.04.2020;4.20
Армения;Ереван;05.03.2020;1.60
Армения;Ереван;05.04.2020;4.20
Армения;Ереван;06.03.2020;1.60
Армения;Ереван;06.04.2020;3.80
Армения;Ереван;07.03.2020;2.10
Армения;Ереван;07.04.2020;3.70
Армения;Ереван;08.03.2020;2.60
Армения;Ереван;08.04.2020;3.60
Армения;Ереван;09.03.2020;1.10
Армения;Ереван;09.04.2020;3.60
Армения;Ереван;10.03.2020;1.10
Армения;Ереван;10.04.2020;3.60
Армения;Ереван;11.03.2020;1.10
Армения;Ереван;11.04.2020;3.80
Армения;Ереван;12.03.2020;1.10
Армения;Ереван;12.04.2020;4.10
Армения;Ереван;13.03.2020;1.70
Армения;Ереван;13.04.2020;3.30
Армения;Ереван;14.03.2020;2.60
Армения;Ереван;14.04.2020;3.30
Армения;Ереван;15.03.2020;3.10
Армения;Ереван;15.04.2020;3.20
Армения;Ереван;16.03.2020;2.20
Армения;Ереван;16.04.2020;3.30
Армения;Ереван;17.03.2020;2.70
Армения;Ереван;17.04.2020;3.10
Армения;Ереван;18.03.2020;2.90
Армения;Ереван;18.04.2020;3.40
Армения;Ереван;19.03.2020;2.90
Армения;Ереван;19.04.2020;3.90
Армения;Ереван;20.03.2020;2.80
Армения;Ереван;20.04.2020;3.00
Армения;Ереван;21.03.2020;3.20
Армения;Ереван;21.04.2020;3.20
Армения;Ереван;22.03.2020;3.70
Армения;Ереван;22.04.2020;3.20
Армения;Ереван;23.02.2020;2.70
Армения;Ереван;23.03.2020;2.70
Армения;Ереван;23.04.2020;3.20
Армения;Ереван;24.02.2020;1.20
Армения;Ереван;24.03.2020;2.80
Армения;Ереван;24.04.2020;3.70
Армения;Ереван;25.02.2020;1.30
Армения;Ереван;25.03.2020;3.70
